ID,Gender,DOB,CollegeID,CollegeTier,Degree,Specialization,CollegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,Salary
604399,f,1990-10-22,6920,1,B.Tech/B.E.,instrumentation and control engineering,73.82,6920,1,Delhi,2013,445000
988334,m,1990-05-15,6624,2,B.Tech/B.E.,computer science & engineering,65,6624,0,Uttar Pradesh,2014,110000
301647,m,1989-08-21,9084,2,B.Tech/B.E.,electronics & telecommunications,61.94,9084,0,Maharashtra,2011,255000
582313,m,1991-05-04,8195,1,B.Tech/B.E.,computer science & engineering,80.4,8195,1,Delhi,2013,420000
339001,f,1990-10-30,4889,2,B.Tech/B.E.,biotechnology,64.3,4889,1,Tamil Nadu,2012,200000
609356,f,1989-12-02,10950,1,M.Tech./M.E.,instrumentation and control engineering,99.93,10950,0,Punjab,2013,440000
1081649,f,1989-04-17,14381,2,B.Tech/B.E.,mechanical engineering,68,14381,1,West Bengal,2013,150000
610842,f,1991-04-11,13208,2,B.Tech/B.E.,computer science & engineering,71,13208,1,Telangana,2013,105000
1183070,m,1992-11-25,5338,2,B.Tech/B.E.,information technology,73.15,5338,0,Andhra Pradesh,2014,195000
794062,f,1993-03-15,8346,2,B.Tech/B.E.,computer science & engineering,70.08,8346,0,Uttar Pradesh,2014,200000
1088206,m,1990-06-21,13424,2,B.Tech/B.E.,electronics & telecommunications,62,13424,0,Maharashtra,2013,335000
1279958,m,1992-07-02,64,2,B.Tech/B.E.,instrumentation and control engineering,67.67,64,0,Uttar Pradesh,2013,300000
471413,f,1991-12-24,57,2,B.Tech/B.E.,information technology,85,57,0,Haryana,2013,480000
1088423,f,1992-08-09,2998,2,B.Tech/B.E.,computer science & engineering,85,2998,0,Telangana,2014,550000
1066680,m,1991-09-12,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,West Bengal,2014,325000
407672,m,1990-09-30,3801,2,B.Tech/B.E.,information technology,75.2,3801,0,Karnataka,2012,405000
205633,m,1988-05-25,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2011,500000
